0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
68.8,0.21,3.07,4.2,0.0,14.05,0.15,14.49,0.0,0.02,3.72,0.0,3.87,0.32,0.21,0.23,0.07,0.03,0.0,81.49,0.0,0.57,0.17,0.0,101.96,0.0,1.11,5.65,76.1,3.77,0.24,70.27,0.2,2.12,0.17,0.0,3.79,0.2,0.0,3.73,0.0,0.8,1.66,0.0,6.75,19.3,0.0,0.16,0.0,1.82,3.58,0.11,0.0,4.71,0.28,0.0,0.0,0.0,0.27,0.0,0.0,0.09,0.06,0.02,0.0,10.07,0.0,0.41,0.0,3.28,3.01,0.0,5.86,0.0,0.11,30.55,0.0,0.1,11.16,406.47,0.0,0.52,9.73,2.02,0.0,0.0,0.16,0.0,0.0,0.0,4.28,6.44,31.53,2.31,12.92,15.12,13.42,0.0,0.15,0.0,0.0,0.12,18.91,1.4,0.0,0.49,0.0,0.0,0.0,0.0,0.0,28.04,0.0,41.45,0.0,12.18,0.0,7.3,6.92,274.34,14.19,0.0,0.0,0.0,11.03,1.86,0.0,2.29,2.54,35.48,0.0,0.65,0.0,0.0,0.03,0.78,0.0,0.13,12.45,3.74,9.97,0.0,0.16,40.11,0.0,0.03,0.02,0.92,68.69,0.0,405.22,0.0,0.0,2.43,0.29,15.31,0.0,0.05,6.31,2.15,0.0,0.42,102.92,4.61,13.38,0.0,0.0,0.0,0.0,10.19,0.0,0.07,0.38,0.0,0.0,0.27,0.06,29.79,0.46,0.0,1.38,7.15,0.0,0.0,7.34,6.05,0.43,0.0,0.33,0.0,0.3,0.21,0.0,0.0,0.0,1.72,0.0,0.0,0.58,55.0,1.0
78.82,0.0,3.74,4.76,0.0,9.43,0.17,26.07,0.0,0.0,4.09,0.0,2.3,0.29,0.23,0.0,0.0,0.0,0.0,84.32,0.0,0.85,0.0,0.0,109.39,0.0,0.86,1.53,57.95,2.79,0.22,85.84,0.1,1.65,0.0,0.0,6.34,0.45,0.0,3.46,0.0,0.41,2.14,0.0,4.38,21.13,0.0,0.42,0.0,1.91,3.41,0.35,0.0,4.7,0.08,0.0,0.0,0.02,0.21,0.0,0.0,0.28,0.06,0.0,0.0,7.09,0.0,0.37,0.0,1.88,3.57,0.0,8.49,0.0,0.0,37.29,0.03,0.17,10.75,0.71,0.0,0.56,7.48,1.29,0.0,0.0,0.15,0.0,0.0,0.19,4.75,8.66,37.01,5.0,5.52,20.79,16.49,0.0,0.07,0.0,0.0,0.07,13.14,0.52,0.0,0.3,0.01,0.0,0.0,0.0,0.0,37.95,0.0,50.07,0.0,10.13,0.0,5.89,6.4,215.25,22.6,0.0,0.0,0.0,7.74,1.52,0.0,2.37,2.44,61.93,0.0,0.0,0.0,0.0,0.0,1.31,0.01,0.18,9.53,2.71,6.72,0.0,0.16,51.42,0.0,0.0,0.02,2.11,68.03,0.0,444.61,0.0,0.0,2.01,0.08,14.74,0.11,0.07,2.88,2.59,0.0,0.47,96.38,5.46,14.6,0.0,0.2,0.0,0.0,9.12,0.08,0.0,0.53,0.0,0.0,0.0,1.08,30.9,0.25,0.0,1.17,7.42,0.0,0.0,7.45,9.09,0.59,0.1,0.63,0.0,0.26,0.05,0.0,0.0,0.0,1.41,0.0,0.0,0.72,65.09,0.0
83.97,0.0,2.72,3.02,0.0,23.64,0.21,23.7,0.0,0.02,4.67,0.0,3.9,0.59,0.12,0.0,0.0,0.0,0.1,88.95,0.0,0.87,0.23,0.0,110.22,0.0,1.27,3.82,59.5,3.91,0.45,74.91,0.17,2.28,0.12,0.0,8.58,0.0,0.0,4.06,0.0,0.98,2.72,0.0,5.62,21.36,0.0,0.85,0.0,2.0,2.89,0.1,0.0,3.57,0.0,0.0,0.0,0.02,0.28,0.0,0.0,0.11,0.0,0.0,0.0,8.1,0.0,0.23,0.0,2.41,3.06,0.0,7.29,0.0,0.0,31.76,0.0,0.0,11.4,437.68,0.06,0.19,8.34,1.29,0.0,0.0,0.04,0.0,0.0,0.19,3.9,6.12,30.69,2.84,6.49,19.08,14.06,0.0,0.14,0.0,0.0,0.04,17.44,0.3,0.0,0.36,0.0,0.0,0.0,0.0,0.0,26.59,0.0,39.82,0.0,12.2,0.0,5.64,6.3,246.54,11.94,0.0,0.0,0.0,9.01,1.45,0.0,2.19,2.8,48.36,0.0,0.0,0.0,0.05,0.0,1.19,0.0,0.3,9.45,2.77,8.05,0.0,0.04,45.54,0.0,0.0,0.02,1.25,58.75,0.0,385.44,0.0,0.0,2.29,0.09,9.92,0.11,0.07,4.21,2.0,0.0,0.73,90.33,4.94,25.24,0.0,0.09,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0,0.29,0.98,29.28,0.48,0.0,1.02,11.52,0.0,0.0,7.47,6.15,0.97,0.1,0.27,0.0,0.27,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.67,58.97,0.0
81.03,0.0,2.37,3.96,0.0,14.29,0.04,17.73,0.0,0.0,4.38,0.0,2.82,0.35,0.22,0.0,0.0,0.0,0.24,75.15,0.0,1.04,0.18,0.0,81.9,0.0,0.68,1.15,56.15,2.84,0.54,80.66,0.08,1.6,0.14,0.0,12.31,0.11,0.0,2.88,0.0,1.53,2.59,0.0,3.64,25.99,0.0,0.51,0.0,1.4,2.96,0.12,0.0,4.78,0.0,0.0,0.0,0.04,0.27,0.0,0.0,0.02,0.0,0.0,0.0,6.51,0.05,0.45,0.0,1.41,2.66,0.0,6.88,0.0,0.0,31.05,0.0,0.0,8.5,511.86,0.15,0.67,6.39,1.53,0.0,0.0,0.05,0.0,0.0,0.0,2.3,8.34,27.49,8.58,5.02,20.21,15.46,0.0,0.05,0.0,0.0,0.09,14.38,0.36,0.0,0.41,0.0,0.0,0.0,0.0,0.0,35.1,0.0,46.75,0.0,11.66,0.0,4.81,6.41,167.36,19.56,0.0,0.0,0.0,7.44,1.26,0.0,1.63,2.25,46.45,0.0,0.51,0.0,0.0,0.03,1.19,0.25,0.29,10.1,1.91,6.51,0.0,0.05,50.94,0.0,0.0,0.05,1.96,65.16,0.0,337.06,0.0,0.0,0.98,0.04,26.19,0.0,0.07,3.79,2.58,0.0,0.25,83.54,4.67,10.92,0.0,0.12,0.0,0.0,8.1,0.0,0.0,0.31,0.0,0.0,0.0,0.46,26.84,0.05,0.0,1.02,9.42,0.0,0.0,7.27,9.3,1.03,0.12,0.64,0.0,0.39,0.06,0.0,0.0,0.0,0.92,0.0,0.0,0.48,58.46,0.0
54.36,0.0,4.16,3.88,0.0,16.86,0.26,20.67,0.0,0.02,3.74,0.0,3.13,0.54,0.21,0.0,0.0,0.0,0.14,65.96,0.0,0.19,0.21,0.0,100.71,0.0,0.53,0.57,47.22,3.46,0.62,74.6,0.09,1.89,0.04,0.0,6.52,0.0,0.0,4.83,0.0,0.29,2.37,0.0,2.74,17.76,0.0,0.26,0.0,1.94,4.61,0.11,0.0,6.21,0.08,0.0,0.0,0.0,0.1,0.0,0.0,0.21,0.11,0.0,0.0,6.82,0.0,0.7,0.0,1.19,2.84,0.0,13.73,0.0,0.13,54.55,0.0,0.08,12.09,381.7,0.0,0.78,6.74,1.97,0.0,0.0,0.04,0.0,0.0,0.35,3.51,6.31,36.41,8.12,3.12,17.78,17.7,0.0,0.06,0.0,0.0,0.1,14.14,0.35,0.0,0.99,0.0,0.0,0.0,0.0,0.0,33.17,0.0,55.09,0.0,12.49,0.02,4.98,6.75,148.34,21.03,0.0,0.0,0.0,8.3,1.65,0.0,2.33,2.87,58.09,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.56,8.32,2.84,6.25,0.0,0.12,60.99,0.0,0.0,0.02,1.92,62.65,0.0,455.97,0.0,0.0,1.64,0.06,16.33,0.0,0.06,2.2,3.81,0.0,0.71,88.36,5.49,24.7,0.0,0.26,0.0,0.0,9.62,0.0,0.06,0.55,0.0,0.0,0.0,0.55,30.13,0.23,0.0,0.64,4.8,0.0,0.0,8.32,9.61,0.89,0.0,0.47,0.0,0.26,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.8,69.25,0.0
63.73,0.2,5.18,3.8,0.0,16.06,0.11,29.02,0.0,0.03,3.54,0.0,6.32,0.0,0.08,0.0,0.07,0.0,0.05,86.54,0.0,0.16,0.0,0.0,118.58,0.0,0.9,0.95,53.5,7.03,0.22,59.14,0.17,2.2,0.04,0.0,2.85,0.0,0.0,6.16,0.0,0.33,2.15,0.0,3.9,16.43,0.0,0.3,0.0,1.56,4.41,0.08,0.14,3.47,0.09,0.0,0.0,0.02,0.45,0.0,0.0,0.06,0.06,0.0,0.0,8.31,0.08,0.24,0.0,2.71,3.5,0.0,15.6,0.0,0.0,41.48,0.0,0.09,13.23,237.85,0.0,0.0,10.04,2.12,0.0,0.0,0.01,0.17,0.0,0.0,5.83,2.85,30.86,1.65,6.45,32.65,15.61,0.0,0.14,0.0,0.0,0.04,17.03,0.39,0.0,1.13,0.0,0.0,0.0,0.0,0.0,30.31,0.0,41.79,0.0,13.77,0.0,5.95,5.73,248.12,10.86,0.0,0.02,0.0,7.71,2.34,0.0,2.17,2.32,45.33,0.0,0.09,0.0,0.0,0.0,2.34,0.01,0.13,12.06,2.64,9.56,0.0,0.04,45.85,0.0,0.0,0.04,2.59,46.13,0.0,610.54,0.0,0.0,3.33,0.15,20.97,0.0,0.0,4.31,6.0,0.0,0.99,101.07,8.51,38.72,0.08,0.42,0.0,0.0,12.89,0.08,0.0,0.97,0.0,0.0,0.05,0.03,22.59,0.31,0.0,0.55,4.95,0.0,0.0,5.17,6.27,0.45,0.73,0.21,0.0,0.07,0.01,0.0,0.0,0.05,1.56,0.0,0.03,0.62,57.92,1.0
56.51,0.0,5.26,4.53,0.0,13.69,0.07,17.73,0.0,0.02,3.78,0.0,4.03,0.62,0.09,0.11,0.0,0.0,0.1,69.36,0.0,1.34,0.16,0.0,111.95,0.0,1.06,0.37,40.6,6.59,0.25,60.68,0.17,2.66,0.08,0.0,13.28,0.0,0.0,6.96,0.0,0.47,3.71,0.0,4.51,11.36,0.0,0.74,0.0,3.13,7.58,0.07,0.0,4.04,0.09,0.05,0.0,0.05,0.22,0.0,0.0,0.19,0.0,0.0,0.0,11.02,0.0,0.0,0.0,1.7,4.02,0.0,13.98,0.0,0.04,37.73,0.03,0.18,12.05,475.23,0.0,0.49,10.02,1.82,0.0,0.0,0.07,0.17,0.0,0.0,6.35,6.96,33.95,1.98,5.72,28.78,14.74,0.0,0.09,0.0,0.0,0.0,14.81,0.15,0.0,0.22,0.0,0.0,0.0,0.0,0.0,32.16,0.0,32.43,0.0,12.69,0.0,6.1,7.58,175.28,9.48,0.0,0.02,0.16,9.85,1.46,0.0,2.58,3.62,42.77,0.0,0.18,0.0,0.05,0.0,1.62,0.0,0.25,7.89,1.95,9.55,0.0,0.01,39.23,0.0,0.0,0.02,1.28,38.33,0.0,581.59,0.0,0.0,2.28,0.66,19.25,0.0,0.05,3.55,5.81,0.0,1.49,80.85,8.1,52.17,0.0,0.43,0.0,0.36,9.51,0.24,0.26,2.49,0.0,0.0,0.0,0.16,25.87,0.18,0.0,0.63,4.98,0.0,0.0,5.39,5.81,0.66,0.2,0.17,0.0,0.06,0.11,0.04,0.0,0.0,1.31,0.0,0.0,0.34,57.96,0.0
64.55,0.07,4.92,4.11,0.0,14.1,0.07,20.7,0.0,0.0,3.84,0.0,2.94,0.88,0.14,0.0,0.0,0.0,0.1,76.86,0.0,0.6,0.0,0.0,96.74,0.0,0.79,1.02,50.6,4.17,0.77,77.72,0.09,1.93,0.04,0.0,23.75,0.09,0.0,4.64,0.0,0.24,2.46,0.0,3.86,15.55,0.0,0.14,0.0,1.92,3.95,0.22,0.0,5.82,0.26,0.0,0.0,0.02,0.18,0.0,0.0,0.14,0.06,0.0,0.0,6.71,0.06,0.53,0.0,1.44,4.95,0.0,13.61,0.0,0.18,40.39,0.0,0.0,10.66,298.77,0.0,0.0,8.45,2.08,0.0,0.0,0.27,0.0,0.0,0.0,3.97,9.58,30.38,2.77,3.3,23.9,16.33,0.0,0.05,0.0,0.0,0.0,30.66,0.46,0.0,0.26,0.0,0.0,0.0,0.0,0.0,31.58,0.0,43.28,0.0,11.4,0.0,4.98,6.09,188.24,15.81,0.0,0.0,0.0,8.78,1.14,0.0,1.83,2.8,46.81,0.0,0.26,0.0,0.0,0.0,1.24,0.0,0.18,9.45,2.84,7.85,0.0,0.01,50.99,0.0,0.0,0.0,1.65,59.31,0.0,418.85,0.0,0.0,2.22,0.11,18.82,0.0,0.1,3.08,3.05,0.0,1.03,87.97,6.6,28.61,0.0,0.09,0.0,0.0,11.17,0.0,0.0,0.93,0.0,0.0,0.0,0.65,27.58,0.38,0.0,0.31,6.15,0.0,0.0,9.44,8.26,0.79,0.2,0.14,0.0,0.19,0.01,0.0,0.0,0.0,1.82,0.0,0.0,1.08,77.46,1.0
68.84,0.15,4.64,4.61,0.0,11.27,0.16,15.79,0.0,0.04,4.24,0.0,2.62,0.36,0.2,0.25,0.08,0.0,0.0,70.65,0.0,0.55,0.0,0.0,114.73,0.0,0.98,1.22,49.24,4.28,0.32,78.11,0.14,1.68,0.09,0.0,17.83,0.05,0.0,3.96,0.0,0.78,1.16,0.0,3.82,14.66,0.0,0.66,0.0,2.02,3.01,0.27,0.0,6.51,0.0,0.0,0.0,0.02,0.33,0.0,0.0,0.52,0.0,0.0,0.0,7.32,0.0,0.27,0.0,2.21,3.55,0.0,8.58,0.0,0.08,35.59,0.0,0.0,10.01,516.89,0.0,0.0,8.05,2.11,0.0,0.0,0.08,0.0,0.0,0.0,4.79,4.08,37.43,2.26,3.88,22.25,16.07,0.0,0.05,0.0,0.0,0.13,11.92,0.27,0.0,0.79,0.0,0.0,0.0,0.0,0.0,31.09,0.0,39.63,0.0,10.72,0.0,7.17,5.3,193.19,8.05,0.0,0.0,0.0,8.58,2.55,0.0,1.96,2.75,50.6,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.43,8.36,3.56,8.08,0.0,0.08,42.53,0.0,0.0,0.02,1.45,52.0,0.0,408.46,0.0,0.0,1.97,0.08,23.26,0.27,0.05,3.65,3.2,0.0,0.82,88.02,5.25,20.86,0.0,0.24,0.0,0.42,9.25,0.09,0.07,0.8,0.0,0.0,0.35,1.0,26.46,0.3,0.0,0.66,7.54,0.48,0.0,6.87,9.0,1.39,0.12,0.08,0.0,0.15,0.09,0.0,0.0,0.06,1.82,0.0,0.0,0.24,63.81,1.0
68.22,0.07,3.0,4.28,0.0,9.31,0.43,18.28,0.0,0.0,4.28,0.0,2.75,0.17,0.23,0.0,0.0,0.0,0.06,61.67,0.0,0.25,0.0,0.05,86.35,0.0,0.68,2.2,53.06,3.47,0.19,71.41,0.04,1.4,0.0,0.0,7.76,0.0,0.0,3.29,0.0,0.93,1.39,0.0,4.69,21.93,0.0,0.0,0.0,1.99,3.37,0.06,0.0,4.85,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.22,0.07,0.0,0.0,5.62,0.0,0.68,0.0,0.91,3.55,0.0,6.83,0.0,0.08,33.52,0.0,0.0,8.38,522.06,0.0,0.75,6.7,1.68,0.0,0.0,0.0,0.0,0.0,0.0,3.11,4.09,30.18,5.38,5.23,19.99,15.88,0.0,0.03,0.0,0.0,0.17,19.25,0.51,0.0,0.79,0.02,0.0,0.0,0.0,0.0,33.31,0.0,44.29,0.0,11.12,0.0,4.97,6.25,155.75,30.38,0.0,0.0,0.0,7.94,1.87,0.0,2.0,2.72,46.51,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.2,8.36,2.27,6.71,0.0,0.13,47.32,0.0,0.06,0.0,1.4,59.62,0.0,307.84,0.0,0.0,1.85,0.08,27.68,0.0,0.0,3.65,3.35,0.0,0.47,75.96,4.58,11.55,0.0,0.1,0.0,0.0,9.83,0.0,0.0,0.44,0.0,0.0,0.0,1.59,29.83,0.05,0.0,1.0,7.96,0.0,0.0,8.43,13.23,2.23,0.11,0.53,0.0,0.52,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.45,67.05,0.0
